Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Friendship,34,1801,258.172423,604,152.2005256,13,24.16609195,8,16.40121947,0,14.14213562,0,14.14213562,17,26,0,14.14213562,1,10.19803903,0,14.14213562,1,10.19803903,1,10.44030651,12,18.43908891,2,10.77032961,11,18.86796226,23,31.40063694,106,66.06814664,409,130.1768028,1197,226.1083811
Garfield,35,3775,369.9026899,1037,189.6127633,46,39.50949253,22,22.93468988,113,56.11595139,21,27.29468813,28,28.4956137,41,29.05167809,40,33.3166625,51,38.17066937,46,44.31703961,104,53.1789432,38,31.63858404,92,56.16048433,47,43.18564576,51,28.4956137,259,106.4283797,38,28.53068524,2738,293.1381927
Glen Hazel,36,673,213,168,101,12,20,11,24,10,16,0,10,0,10,0,10,11,23,0,10,0,10,0,10,0,10,21,34,23,31,35,57,45,49,0,10,505,162
Greenfield,37,7402,674.3871292,1552,294.5369247,130,65.74191966,90,57.85326266,20,34.02939905,125,102.205675,20,46.57252409,42,60.24118193,77,85.35806933,33,36.40054945,18,33.48133809,32,38.09199391,55,64,32,42.44997055,80,66.3249576,107,82.58329129,392,136.5540186,299,135.6834551,5850,513.7966524
Hays,38,376,93,58,33,0,10,0,10,0,10,9,13,0,10,0,10,0,10,19,27,9,13,0,10,6,9,0,10,3,6,6,9,6,9,0,10,318,82
Hazelwood,39,4063,608.6526103,1067,302.8019155,68,65.35288823,78,57.93962375,47,45.49725266,86,52.82045059,83,115.1911455,26,37.41657387,44,41.6533312,53,53.21653878,46,40.70626487,87,64.85368147,62,47.94788838,89,67.37210105,29,30.69201851,62,61.26989473,191,90.71934744,16,27.27636339,2996,385.7330683
Highland Park,40,6551,793.8803436,1806,388.1610491,153,90.86803618,107,68.39590631,45,45.08880127,32,39.35733731,132,94.73119866,41,50.28916384,41,46.64761516,46,49.56813493,43,36.60601044,99,86.98850499,51,52.92447449,102,85.9418408,133,84.08329204,11,26.79552201,391,157.6578574,379,187.8110753,4745,558.6662689
Homewood North,41,3055,423.02364,1276,283.7992248,145,79.21489759,67,47.54997371,44,42.10700654,91,51.28352562,103,67.03730305,81,51.59457336,67,45.23273151,68,53.38539126,75,48,57,34.71310992,20,23.66431913,80,50.46781152,11,23.32380758,70,59.07622195,275,88.50423719,22,35.86084215,1779,239.8436991
Homewood South,42,2189,303.3957811,588,156.47364,83,50.19960159,54,40.02499219,18,29.83286778,18,27.54995463,44,34.49637662,38,36.98648402,29,29.78254522,44,32.87856445,0,24.49489743,28,31.2409987,31,30.3644529,37,29.13760457,15,23.10844002,28,25.37715508,83,43.58898944,38,30.03331484,1601,219.4082952
Homewood West,43,816,213.0375554,148,102.9271587,0,14.14213562,15,26,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,6,12.80624847,17,30.6757233,0,14.14213562,40,36.87817783,23,26.92582404,0,14.14213562,0,14.14213562,25,33.52610923,22,33.52610923,0,14.14213562,668,136.7808466
Knoxville,44,3938,781.6616915,1372,466.2274123,102,74.91995729,67,72.80109889,93,78.79720807,102,92.73618496,25,34.89985673,170,111.3867138,27,33.85262176,34,39.92492956,143,94.40868604,133,93.26842981,99,93.09135298,50,37.58989226,88,77.1621669,33,43.23193264,194,120.5570404,12,29.3428015,2566,422.3848956
Larimer,45,1588,289.0432494,361,126.8818348,48,49.24428901,12,22.27105745,18,24.97999199,30,42.24926035,37,31.38470965,10,22.91287847,24,34.64101615,23,22.7815715,32,29.563491,17,22.27105745,11,14.03566885,30,28.12472222,24,26.45751311,15,20.4450483,30,20.24845673,0,20,1227,211.5159568
Lincoln Place,46,3368,455.9605246,599,180.3080697,69,57.34980384,0,22.36067978,23,32.34192326,12,27.58622845,22,29.06888371,15,24.24871131,26,27.62245463,26,29.73213749,60,53.76802024,94,64.96922348,10,25,56,52.40229003,24,27.94637723,53,44.23799272,78,42.40283009,31,30.39736831,2769,386.129512
Lincoln-Lemington-Belmar,47,4854,461.9134118,1417,251.7399452,126,75.81556568,43,39.68626967,25,35.28455753,117,67.34983296,69,71.28814768,46,42.35563717,47,33.37663854,50,43.52011029,23,36.40054945,82,44.45222154,66,45.09988914,33,31.89043744,119,77.92303896,72,53.6563137,403,144.3710497,96,44.37341546,3437,336.8976106
Lower Lawrenceville,48,2560,390.5444917,587,306.8941185,0,14.14213562,0,14.14213562,69,91.41115906,0,14.14213562,31,47.07440918,17,22.36067978,66,60.00833275,69,55.07267925,45,41.86884283,0,14.14213562,8,15.62049935,0,14.14213562,46,48.84669897,17,21.47091055,79,47.38143096,140,98.23441352,1973,253.0316186
Manchester,49,1923,255.8280673,399,94.02127419,0,14.14213562,44,30.41381265,0,14.14213562,9,19.72308292,23,29.96664813,9,17.20465053,45,33.52610923,18,22.36067978,13,18.78829423,34,29.73213749,10,18.86796226,31,31.144823,17,26.92582404,17,22.8035085,94,56.35601121,35,25.70992026,1524,228.790297
Marshall-Shadeland,50,5912,680.5696144,936,274.1076431,86,52.44997617,8,25,16,21.97726098,56,45.48626166,42,42.05948169,5,21.9317122,61,45.27692569,152,78.23681998,27,29.08607914,26,29.13760457,34,31.57530681,34,31.4960315,75,55.81218505,79,60.04997918,220,108.0046295,15,26.2488095,4976,554.618788
Middle Hill,51,1723,281.0658286,318,113.9517442,6,16.76305461,15,16.73320053,21,26.15339366,0,17.32050808,19,32.26453161,3,15,13,10.81665383,18,32.26453161,0,17.32050808,13,19.72308292,9,17.32050808,17,24.49489743,14,26.15339366,67,52.62128847,82,48.84669897,21,23.68543856,1405,234.9914892
Morningside,52,3136,360.37203,687,171.7963911,30,30.14962686,0,20,22,28,21,29.59729717,70,50.019996,33,31.08054054,21,27.36786437,10,22.91287847,67,52.04805472,19,25.49509757,30,29.94995826,4,18.68154169,8,21.07130751,16,30.41381265,197,97.84681906,139,63.62389488,2449,279.1522882
Mount Oliver Borough,53,3288,435.786645,913,241.476707,28,33.01514804,79,56.82429058,17,24.37211521,83,63,16,24.2693222,78,55.65069631,40,48.01041554,66,55.76737397,57,72.73238618,0,20,97,67.63874629,50,41.43669871,12,22.91287847,104,59.51470407,122,65.42935121,64,51.4003891,2375,284.4767126
Mount Washington,54,8525,582.9313853,1587,247.0910763,65,47.16990566,61,44.88875137,65,55.4436651,44,35.35533906,19,35.56683849,51,40.59556626,59,58.39520528,44,41.07310556,42,41.91658383,2,28.72281323,76,46.75467891,67,55.73149917,79,48.74423043,63,41.48493703,465,167.5111937,385,123.2152588,6938,492.181877
Mt. Oliver,55,587,137,124,58,7,8,10,15,0,10,0,10,4,6,10,15,0,10,0,10,22,20,15,18,22,24,16,23,4,7,3,5,11,11,0,10,463,98
New Homestead,56,959,103,243,47,10,15,10,14,14,17,15,18,20,18,11,15,8,7,0,10,9,10,32,20,16,16,20,27,21,18,16,14,37,27,4,7,716,75
North Oakland,57,9565,623.4925822,7192,561.6021724,0,24.49489743,11,27.49545417,34,60.29925373,0,24.49489743,51,63.04760106,18,27.49545417,21,28.70540019,0,24.49489743,0,24.49489743,21,66.85057965,15,27.73084925,4,23.15167381,4,23.15167381,30,41.0487515,6123,503.7479529,860,219.9363544,2373,280.3586988
North Shore,58,205,66.75327707,12,20.59126028,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,12,20.59126028,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,193,60.8276253
Northview Heights,59,1454,286,560,201,28,25,57,46,25,18,70,53,36,28,27,32,22,35,36,39,38,27,32,37,10,12,9,12,36,39,9,11,108,75,17,27,894,168
Oakwood,60,1020,129,135,48,17,19,13,19,11,16,16,17,0,10,0,10,12,12,11,12,0,10,6,9,0,10,6,9,0,10,11,13,32,22,0,10,885,104
Overbrook,61,3597,324.2082664,750,166.3159644,15,19.02629759,51,35.60898763,77,51.98076567,24,25.0998008,43,31.36877428,6,18.70828693,36,33.51119216,41,43.02324953,28,21.04756518,27,21.86321111,49,43.80639223,30,27.85677655,64,43.23193264,50,37.84177586,172,90.85152723,37,28.53068524,2847,231.836149
